	CM	S1C1	S1C2	S2C1	S2C2	S2C3	S3C1	S3C2	S4C1	S4C2	S5C1	S5C2	S6C1	S6C2	S7C1	S7C2	S8C1	S9C1	S10C1	S10C2	S11C1	S11C2	S12C1	S12C2	S13C1	S13C2	Demanda CM
S7C1	1.58	4.07	4.17	3.87	3.38	3.53	2.16	2.99	2.56	3.36	2.43	2.13	0.791	1.09	0	0.827	1.18	2.07	3.19	2.26	0.922	1.94	1.35	0.526	1.25	1.98	2
S7C2	2.15	5.52	5.1	4.64	4.12	4.19	2.78	3.59	3.01	3.81	2.35	2.48	0.863	0.317	0.827	0	2.02	2.94	4.02	3.1	1.53	2.68	2.19	1.37	1.52	2.02	2
S8C1	1.8	3.87	3.32	3.15	2.89	3.26	3.29	2.77	2.66	3.4	3.22	2.53	1.88	2.41	1.18	2.02	0	1.15	2.35	1.48	1.4	1.63	0.851	0.798	1.94	2.77	3
S9C1	1.62	2.79	2.23	2.02	1.9	2.42	2.42	2.1	2.26	2.84	3.42	2.34	2.4	3.25	2.07	2.94	1.15	0	1.25	0.495	1.71	1.04	0.766	1.55	2.31	3	3
S10C1	2.18	1.57	1.01	0.763	0.91	1.7	1.73	1.75	2.37	2.58	3.95	2.71	3.35	4.27	3.19	4.02	2.35	1.25	0	0.921	2.62	1.36	1.84	2.66	3.16	3.58	3.5
S10C2	1.44	2.51	1.91	1.62	1.36	1.91	1.96	1.65	1.92	2.48	3.28	2.14	2.48	3.36	2.26	3.1	1.4	0.495	0.921	0	1.74	0.643	0.906	1.76	2.31	2.85	3.5
S11C1	0.699	4.05	3.52	3.19	2.6	2.66	1.28	2.09	3.66	2.45	1.89	1.26	0.756	1.96	0.922	1.53	1.4	1.71	2.62	1.74	0	1.19	0.939	0.726	0.664	1.43	3
S11C2	0.723	2.81	2.37	1.91	1.36	1.64	0.568	1.12	1.28	1.92	2.54	1.37	1.93	2.86	1.94	2.68	1.63	1.04	1.36	0.643	1.19	0	0.789	1.48	1.69	2.13	3
S12C1	1.01	3.34	2.81	2.53	2.12	3.53	1.27	2	1.93	2.65	2.75	1.8	1.63	2.46	1.35	2.19	0.851	0.766	1.84	0.906	0.939	0.789	0	0.843	1.59	2.31	3
S12C2	1.27	4.2	3.77	3.46	3.02	3.17	1.79	2.61	2.3	3.09	2.53	1.96	1.04	1.66	0.526	1.37	0.798	1.55	2.66	1.76	0.726	1.48	0.843	0	1.29	2.07	3
S13C1	0.898	4.28	4.01	3.54	2.91	2.88	1.59	2.26	1.64	2.38	1.26	1.07	0.624	1.56	1.25	1.52	1.94	2.31	3.16	2.31	0.664	1.69	1.59	1.29	0	0.78	3.5
S13C2	1.4	4.87	4.37	3.99	3.21	2.9	2.31	2.32	1.52	2.11	0.46	0.941	1.25	1.94	1.98	2.02	2.77	3	3.58	2.85	1.43	2.13	2.31	2.07	0.78	0	3.5
